Company Name,Title,Job Location,Job Description
"
GM Financial",Data Scientist,"Fort Worth, TX 76102","Summary: [

GM Financial is seeking great talent for future opportunities. This is an open Data Scientist pipeline position to help us proactively identify potential candidates for upcoming opportunities. Whether you are available now or looking for opportunities in the coming months, we encourage qualified candidates to apply!

The Data Scientist I mines and analyzes complex data sets using advanced statistical methods for use in data driven decision making. The Data Scientist I assists in the production of research and analysis to quantify the impact of internal and external environments on portfolio performance. This position is responsible for summarizing, reporting, and providing polished presentations of findings to a variety of internal clients as well as interacting with other departments to achieve company objectives.

]"
"
LOCKHEED MARTIN CORPORATION",Data Scientist,"Fort Worth, TX 76108","Applicant will be required to develop, inspect, and transform data to raise productivity and improve decision making for the F-35 Fleet. Candidate will conduct statistical analysis on data and information to ensure correct predictive forecasting can be accomplished and managed. Candidate will manage all aspects of end to end data processing utilizing customized report building functions of systems, maintains analytical systems, verifies the accuracy of the data and acts as liaison for Sustaining Engineering team. Works with technical developers to define business outcomes and govern capabilities.

Must be a US citizen or authorized to work in the United States on a permanent basis. This position requires special access.
Basic Qualifications:
Experience working on the F-35 program.
Experience with data analysis/metrics
Project/program management experience
Bachelors degree from an accredited college in a STEM discipline, or equivalent experience/combined education
Desired Skills:
Certification in Black Belt or Green Belt certification.
Advanced Data Analysis

Experience leading Change Initiatives including driving and measuring improvement results.
Experience delivering presentations to leadership.
Experience working with cross functional teams.
Demonstrated ability to communicate with internal and
external customers in a dynamic environment.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional"
"
Shell",Data Scientist,"Houston, TX","The Role
What’s the role?

The Data Scientist role is responsible for applying Data Science, i.e. Machine Learning and Statistics in a broader sense, to business problems. Works with Business Analysts and business SME/users to assess opportunities, review expected outputs. Is responsible to deliver the analytics aspects of projects like developing analytical algorithms, statistical models, and analytical tools. Has the responsibility for the quality of the offered solutions and manages all Data Science aspects of own projects. Builds solutions that are useful to the end-users, and scalable within the existing software landscape.

The role is responsible for development & delivery of analytic solutions in an agile fashion to the business in order to provide insights & improvement to business processes. Data scientists use data and their analytical ability to find and interpret rich data sources; manage large amounts of data; merge data sources; ensure consistency of datasets; create visualizations to aid in understanding data; build mathematical models using the data; and present and communicate the data insights/findings and produce and present results with dashboards.

Accountabilities:
Accountable for preparing a Work Scope for a Data Science Service.
Accountable for executing the Data Science Work Scope.
Accountable for initiating Final Review of the Data Science Service/Work.
Accountable for the Closeout, Quality Review and Customer Satisfaction Survey.
Within the defined scope of the Analytics discipline:
Accountable for maintaining Policies and Standards for Information and Data analytics.
Accountable for execution of Enterprise Improvement Plan for Information and Data analytics.

Requirements
What we need from you
Must have legal authorization to work in the US on a full-time basis for anyone other than current employer.
Bachelor’s degree in Statistics, Mathematics, Theoretical Science, Operational Research or Computer Science. Master’s degree preferred.
Minimum 3 years of relevant experience with and analyzing large data sets, with an ability to write code.
This position requires business knowledge of the following:
Hands-on code development (R, Python, MatLab, SAS).
Use of advanced analytics technology in the context of application deployment
Knowledge of data source extraction (ETL) is desirable (HANA, SQL, Oracle, SharePoint, Hadoop, Spark)
Experience in data science delivery in a corporate environment is desirable.
Must have strong technical skills to develop advanced analytics algorithms/models.
Skilled in data design integrity.
Skilled in value exploitation.
Company Description
Shell is a global group of energy and petrochemical companies with about 84,000 employees across more than 70 countries. We aim to meet the world’s growing need for more and cleaner energy solutions in ways that are economically, environmentally and socially responsible. We have expertise in exploration, production, refining and marketing of oil and natural gas, and the manufacturing and marketing of chemicals. As a global energy company operating in a challenging world, we set high standards of performance and ethical behaviors. We are judged by how we act and how we live up to our core values of honesty, integrity and respect for people. Our Business Principles are based on these. They promote trust, openness, teamwork and professionalism, as well as pride in what we do and how we conduct business. Building on our core values, we aspire to sustain a diverse and inclusive culture where everyone feels respected and valued, from our employees to our customers and partners. A diverse workforce and an inclusive work environment are vital to our success, leading to greater innovation and better energy solutions.

An innovative place to work

There’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.

Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy or developing technology that helps the world to use energy more efficiently.

An inclusive place to work

To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we’re nurturing an inclusive environment – one where you can express your ideas, extend your skills and reach your potential…
We’re creating a space where people with disabilities can excel through transparent recruitment process, workplace adjustments and ongoing support in their roles. Feel free to let us know about your circumstances when you apply, and we’ll take it from there.
We’re closing the gender gap – whether that’s through action on equal pay or by enabling more women to reach senior roles in engineering and technology.
We’re striving to be a pioneer of an inclusive and diverse workplace, promoting equality for employees regardless of sexual orientation or gender identity.
We consider ourselves a flexible employer and want to support you finding the right balance. We encourage you to discuss this with us in your application.

A rewarding place to work

Combine our creative, collaborative environment and global operations with an impressive range of benefits and joining Shell becomes an inspired career choice.

We’re huge advocates for career development. We’ll encourage you to try new roles and experience new settings. By pushing people to reach their potential, we frequently help them find skills they never knew they had, or make career moves they never thought possible.

Disclaimer
Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.

Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.

The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.

Shell participates in E-Verify.

All qualified applicants will receive consideration for employment without regard to race, color, sex, national origin, age, religion, disability, sexual orientation, gender identity, protected veteran status, citizenship, genetic information or other protected status under federal, state or local laws.

Shell is an Equal Opportunity Employer - Minorities/Females/Veterans/Disability."
"
JCPenney",Data Scientist - Site Search Relevancy,"Plano, TX","Location: Plano, TX, United States -

Job ID: 1087080
Corporate Positions
Technology
Job Type: Full-Time
Date Updated: Dec 20, 2019
Data Scientist - Site Search Relevancy - Ecommerce Product Group
We are looking for an experienced Data Scientist to join our Search and Findability team focused on utilizing advanced machine learning techniques to drive product discovery to new heights in their KPI performance. Our environment consists of a modern e-commerce stack where we utilize advanced technologies like machine learning and relevancy ranking. You will have a direct impact on the Search and Browse paths for millions of customers and drive conversions for millions of products on the way. As a successful Data Scientist on the Product team, you will be utilizing advanced data models and also work with an interdisciplinary team (Relevancy Engineers, UX Experts) while utilizing state-of-the-art tools (Snowflake, SOLR)
Primary Responsibilities:
Apply machine learning and data science models to optimize product rankings and sorting options.
Improve product discovery by improving Search Product and Relevancy Ranking algorithms
Collaborate with Relevancy Engineers and Data Science group – recommend new models/ model improvements
Extend/augment company data with third party data, enhance data collection procedures to include information required to build analytic systems
Assist with designing and building infrastructure to facilitate analytics and experimentation
Present results and make recommendations in a clear manner to senior leadership
Provide thought leadership and mentor data science community across the organization
Contribute in Scrum meetings and process (Agile environment)
Core Competencies & Accomplishments:
MS in Statistics, Computer Science, Applied Math, or a related quantitative field + 5-7 years’ experience in machine learning, data mining, or Relevancy Ranking
Excellent understanding of various machine learning techniques and their applications
Experience in data management, statistical analysis, and machine learning (e.g. Python, R, Spark, H20)
Strongly prefer experience in retail ecommerce or related domain
Strong customer service and communication skills, ability to interact with diverse team of people across business and engineering
What you get:
Our corporate office, located within the exciting new development of Legacy West in Plano, Texas, supports JCPenney stores and supply chain facilities nationwide. We offer a competitive benefits package including medical/dental/vision, term life insurance, paid vacation/holidays, 401(k) Savings Plan with company match, and an associate discount on JCPenney merchandise. On-site campus amenities include health clinic, pharmacy, daycare and preschool, full cafeteria service, a 24-hour fitness center and free garage parking.
About JCPenney:
At JCPenney, we share a passion for serving customers, supporting our communities and being the best retailer for all families. As a company founded on the Golden Rule, our success is rooted in the belief that we treat everyone the way we would want to be treated. At every touchpoint, customers discover stylish merchandise at incredible value from an extensive portfolio of private, exclusive and national brands. Reinforcing this shopping experience is the customer service and warrior spirit of approximately 98,000 associates across the globe, all driving toward the Company's mission to help customers find what they love for less time, money and effort.
Working at JCPenney means joining a dedicated team of associates who are encouraged to be uniquely themselves in a safe, caring and welcoming environment. It is a place where careers prosper, accomplishments are celebrated and diversity flourishes. It’s a place that’s meant for you.
For more opportunities to join our team please visit our careers page.
Follow us and see what’s new: Instagram Facebook Twitter LinkedIn Pinterest Media Room jcp.com
#LI-RP1"
"
Deloitte",Data Scientist,"Houston, TX 77002 (Downtown area)","Deloitte Services LP includes internal support areas such as Sales Excellence, Marketing and Communications, Human Resources/Talent, Information Technology, Facilities Management, and Financial Support Services.

Data Scientist

The Data Scientist provides direct support to GPS Sales Excellence by providing sales and pipeline analytics of Deloitte’s Customer Relationship Management (CRM) system (Salesforce), business development artifacts, and client documents.

The GPS Data Scientist is responsible for collaborating with Leadership and other Enabling Areas to understand their processes and data and therefore determine the most efficient and cost-effective manner to provide insights and subsequently predictive analyses on our bidding strategies, pipeline, and future sales.

This individual will apply natural language processing/machine learning to facilitate research, gather, and design processes and/or use technology to mine various business development artifacts, such as proposals, client documents, competitive research, and other corporate data repositories to identify ways to improve our win rate. The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.

Work you’ll do

As a Data Scientist within our team you will:
Assist Sales Excellence leaders with Mercury sales and pipeline data analyses
Coordinate with other internal organizations to understand business development processes and data
Provide recommendations and predictive analysis to senior leaders on improving bid strategies and subsequently win rates."
"
Zilliant",Data Scientist (Austin),"Austin, TX 78701 (Downtown area)","Description:
The primary role of a Data Scientist is to effectively configure the scientific models which support Zilliant’s Price Optimization and Sales Growth solutions. The Data Scientist must be comfortable with independent interactions with clients, guiding clients towards Zilliant’s configuration best practices, and effectively communicating the value of Zilliant’s products.

Responsibilities Include:

Leverage an array of software tools to analyze large client datasets
Integrate large scale commercial software into a client’s existing pricing process
Travel to client offices to present scientific concepts and model results to senior executives
Based out of the Zilliant office in downtown Austin

Key Requirements:

Advanced Degree in an applied mathematics subject such as Data Science, Operations Research, Industrial Engineering, Statistics or a related discipline
Experience in building data driven models which have driven measurable business performance
Experience using SQL and/or Spark to analyze and process large datasets
Experience implementing data science routines in R and/or Python

Desirable Skills and Experience:

Academic or industry exposure to B2B or B2C pricing and revenue optimization
Experience in deploying large scale enterprise software that employs operations research, statistics, or data science methods and algorithms
Industry experience in distribution, manufacturing, transportation, hospitality, or financial services is desirable
Prior experience working within a professional services organization"
"
Cognizant Technology Solutions",Data Scientist,"Irving, TX 75014","Technical Lead

Qualification: Science / Engineering Graduate

Responsibility:Requirement Gathering:

Participate in requirement gathering JAD sessions and support documentation where applicable (business, functional, UI, usability, data, compliance, data migration, NFR, 3rd party tools & products).
Raise queries and get query resolution on areas which are unclear, ambiguous and which need more information to the Technology Lead.

Resource/ Efforts Estimation and Monitoring: • Understand how the estimation (effort, size etc) is done at task level in the area of work concerned, measure and report the actual effort against the estimated effort and ensure task progress reporting in C20 or any other applicable tool.

Design & Analysis: • Create the HL Design and detailed design document with the support of architects for the assigned scope.

Review all deliverables created by the Developer.
Study non functional requirements and design for NFR as required.
Understand the interdependencies of the various components in work packages being developed.
Create detailed design and assign to developer.
provide input to the Project Manager / Technical Lead to create the project plan from a technical perspective.
support development of proof of concept as designed by Designer / Solution Architect.
initiate development environment setup.
Provide demo to customer for early feedback.
create quality check points for all deliverables.

Coding: • Develop tier coding, business layer coding, interface development, service development, creation of stored procedures, etc as applicable for the work package / project.

CTS and customer spectific coding coding standards, guidelines and best practices.
Understand the database concepts and write efficient queries.
raise clarifications / issues / concerns regarding work output to the lead.
Seek review from peer / technical lead periodically.
participate in setup activities for required environment setup.
deploy code build in testing environment.
conduct peer review during design, coding and testing.
Complete documentation as per the scope.
prepare guidelines and checklist for development and testing activities.
Provide feedback to design team.
share feedback with developers to check if code is as per requirements.
Incorporate changes as per feedback.
provide necessary and timely status updates to the Supervisor / Technical Lead.
Highlight any potential risks to the leads.
Update traceability matrix for the work package developed.
mentor the Developers to help them solve technical difficulties in the course of coding.
Follow the SCM policies set for project.
raise clarifications / issues / concerns regarding work output to the lead on time.
provide necessary and timely status updates to the Supervisor / Technical Lead.
Proactively highlight any potential risks to the lead.
provide support on process audit activities.
adhere to process and tools (usage of cognizant 20, awareness of Quality Management System).

Testing: • Develop comprehensive unit testing cases and unit test plans.

conduct comprehensive unit testing.
create unit test logs.
Prepare and support in preparation of unit test strategy.
plan document and data requirements.
automate unit testing and contribute to automation of unit testing.
Conduct peer review of unit test cases.
perform developer integration testing by integrating the components.
Review test cases as prepared by the Developer.

Defect Management: • Participate in defect triage meetings.

conduct RCA for defects identified.
Rework on the code based on review comments from code review / defects raised in unit testing, peer testing, SIT, UAT testing or any other relevant testing phases.
Assist in transition of knowledge and to support organization with any defects raised post production as required.

Process Improvements and Adherence: • Participate in innovation sessions.

implement process improvements to reduce manual intervention (eg automation).
support on process audit activities.
Generate ideas to provide valueadd and share the same with the Technical Lead.
Adhere to process and tools (usage of cognizant 20, awareness of Quality Management System, IDE etc).

Knowledge Management: • Contribute towards updating knowledge assets, user manual, online help document, installation manual / scripts.

Conduct knowledge transfer sessions for new joiners in the project team.
conduct training through academy (if approved).
Guide and mentor team junior members from a technical perspective to ensure quality delivery of the components.
contribute / search / reuse all types of assets from repository.

People Management: • Engage with team.

resolve / conflict management within team.
conduct internal trainings for developers within team.

Technical Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Core Java PL4 Required 2 J2EE PL4 Desired


Proficiency Legends Proficiency Level Generic Reference PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels. PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects. PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects. PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.

Employee Status : Full Time Employee
Shift : Day Job
Travel : No
Job Posting : Dec 19 2019

About Cognizant Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 193 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant.
Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service."
"
HP",Data Scientist Intern,"Spring, TX 77389","Join our team of Quality and Customer Experience Analytics experts.
We are looking for University students enrolled in a Masters advanced degree program who are working in a technical or non-technical internship role at HP during their study or in summer breaks between university semesters.
The candidate will be engaged in a variety of data collection, analytic, programming and reporting related projects, to support HP Inc.’s Quality and Customer Experience improvement programs. The candidate will work both independently and in a global, team environment. Work requires confidence in programming, mathematics and the ability to coordinate and execute data collection, processing, reporting and analytics projects.
Projects may include, but are not limited to:
Research, identify and collect data from multiple sources
Consolidate and clean data to prepare for statistical analysis and visualization
Conduct statistical analysis to correlate the strength of relationship between customer experience, financial and process measures
Participate in processes to automate data collection into data warehouses
Build models to predict revenue growth from customer experience and process metrics
Evaluate suitability of metrics and measures for analysis, inclusion in scorecards and for improvement efforts
Publish periodic progress reports (project status and scorecards)
Education and Experience Required:
Bachelors degree 1st year of Master's program completed; strong preference for Computer Science, Data Science, Statistics or Mathematics degrees
Basic programming skills. Preferably Java, Python and SQL
Experience in data extraction, data cleansing and preparation, text analytics, data mining.
Ability to conduct statistical analysis including correlation and multivariate regression
Strong verbal and written communication (Fluent in English)
Skills to manage smaller projects to successful completion
Learn quickly; translate school or other knowledge into practical application
Desired:
Experience working with small teams to accomplish shared objectives
Analysis & Modeling: 2+ years of experience building statistical models (e.g. linear & logistic regression, time series, SVM, etc.)
Data: 2+ years of experience working with databases (relational, map-reduce, columnar) writing SQL code to extract, manipulate and analyze.
Ability to streamline and automate data collection and onboarding tasks using programming skills
Familiarity with API’s and various Db connectors to onboard data
Progress toward advanced degree or other relevant work experience considered a plus"
"
HP",Data Scientist Intern for Enterprise Analytics,"Austin, TX 78728","HP Inc is seeking people across the United States who can provide immediate support to our current needs and also assist in moving the Big Data Analytics agenda forward. The right individual will be a self-starter, who can provide analysis to a variety of business challenges and help drive best in class financial processes for our organization.
Role Description
The Advanced Analytics intern will work with business teams in HP to understand business requirements and develop optimal solutions Machine learning techniques. Participates as a member of development team. Performs basic analysis of functional or business requirements.
Job Description
We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products and solutions to our customer. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Skills and Qualifications
Currently enrolled in a Master's program
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Great communication skills
Experience with data visualisation tools.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills in R or python
Data-oriented personality
Knowledge of AWS or Azure cloud is desirable.
Knowledge of Big data platforms and tools ( like Hadoop) is desirable
Knowledge of ETL tools is desirable
#LI-POST"
"
ExxonMobil",Data Scientist (PhD),"Spring, TX","Job Summary
Data science encompasses the computational and statistical skills required to use data in support of scientific enquiry and sound business decision-making. We are looking to hire candidates to work on challenging data science problems across our oil & gas businesses, including exploration, production, refining, chemicals, retail and corporate services.

Job Responsibilities
Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems.
Contribute to all stages of data science or decision modeling projects, including problem formulation, solution development, and product deployment:
Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.
Design experiments and/or run simulations to generate new data in support of analytic studies.
Retrieve and combine data from databases, data historians, and/or data lakes; there is strong emphasis on programming, particularly using scripting languages.
Perform exploratory data analysis for quality control and improved understanding.
Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.
Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.
Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.
Job Requirements
Ph.D. in one of the following disciplines: Engineering/Sciences, Mathematics, Statistics or Computer Science with significant experience in data analytics.
Experience in Python, Scala, Java, C, C++ or R is required
Knowledge of statistics, linear algebra, multiple variable calculus, Fourier analysis or machine learning
Experience using one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflow
Experience solving problems using one or more of the following techniques: Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeans
Experience in using SQL/No SQL databases is an advantage
Experience working in Linux and in a High Performance Computing environment is an advantage


Alternate Location: United States : Baytown, Texas || United States : Clinton, New Jersey || United States : Houston, Texas

ExxonMobil is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status."
