Company Name,Title,Job Location,Job Description
"

GM Financial",Data Scientist,"Fort Worth, TX 76102","Summary: [

GM Financial is seeking great talent for future opportunities. This is an open Data Scientist pipeline position to help us proactively identify potential candidates for upcoming opportunities. Whether you are available now or looking for opportunities in the coming months, we encourage qualified candidates to apply!

The Data Scientist I mines and analyzes complex data sets using advanced statistical methods for use in data driven decision making. The Data Scientist I assists in the production of research and analysis to quantify the impact of internal and external environments on portfolio performance. This position is responsible for summarizing, reporting, and providing polished presentations of findings to a variety of internal clients as well as interacting with other departments to achieve company objectives.

]"
"

Capgemini",Data Scientist (Contract),"Austin, TX 78753 (Windsor Hills area)","JOB DESCRIPTION
Compile and create data sets and data visualization
Use statistical modeling to represent complex data."
"

Applus RTD",Data Scientist,"Sugar Land, TX 77478","Company Bio:[
Kiefner and Associates, Inc., an Applus RTD company, is a well-established engineering consultancy with headquarters in Columbus, Ohio. Kiefner provides the oil & gas industry with safety and reliability services.
We offer a broad range of consulting services including fitness for service, failure analysis and material testing, stress analysis, inline inspection qualification, and training workshops.

]Position Purpose:[
 Responsibilities of the Data Scientist include conducting data analytics, statistical and probabilistic modeling, optimization, data scrubbing, standardization, developing and enhancing algorithms and data analysis methodologies, and data validation on projects related to midstream and downstream energy sectors. Support Kiefner by providing integrity assurance services to the oil & gas industry; particularly the midstream.
]Duties and Responsibilities:
Initiate, execute, and close out projects within time and budget
Work independently or as member of a small team
Prepare technical reports and presentations
Represent Kiefner at industry conferences, trade shows, and committees
Follow Kiefner QHSE standards
Perform all other duties assigned
Supervisory Responsibilities:[
N/A
]Knowledge and Skills:[
RapidMiner, R, Python, Matlab, @Risk, VBA
Neural networks
Naïve Bayes Classifier
Statistical tools and methodologies
Practical application of data science in engineering solutions
Ability to work on several assignments
Ability to communicate effectively; both verbally and in writing
Ability to work in a team environment
MS Office Suite of products
Firmly adhere to the values and ethics of Kiefner. Exhibit honesty, discretion, and sound judgment
]Education and Work Experience:
MSc or PhD in data science, applied mathematics, statistics, engineering
3+ years of experience in data science in and engineering domain (preferably midstream oil and gas)
1+ years in an engineering or consultancy environment
Employees must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position
Certificates and Licenses Required:[
N/A

]Physical Activities and Requirements:[
The ability to listen to and understand information and ideas presented through spoken words and sentences
The ability to communicate information and ideas through speech so others will understand
The ability to read and understand information and ideas presented in writing
The ability to choose the right mathematical methods or formulas to solve a problem
The ability to see details at close range (within a few feet of the observer)
The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem
The ability to add, subtract, multiply, or divide quickly and correctly
Sitting: Remain sitting, particularly for sustained periods of time
Repetitive motions: Making substantial movements (motions) of the wrists, hands, and/or fingers
Dexterity: Picking, pinching, typing or otherwise working, primarily with fingers rather than with whole hand or arm as in handling
Talking: Expressing or exchanging ideas by means of the spoken word; those activities where detailed or important spoken instructions must be conveyed to other workers accurately, loudly, or quickly
Walking: Moving about on foot to accomplish tasks, particularly for long distances or moving from one work area to another
Hearing: Perceiving the nature of sounds at normal speaking levels with or without correction, and having the ability to receive detailed information through oral communication, and making fine discriminations in sound
Sedentary work: Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met
The worker is required to have close visual acuity to perform an activity such as: preparing and analyzing data and figures; transcribing; viewing a computer terminal; extensive reading at distances close to the eyes
In compliance with American with Disabilities Act (ADA), Applus+ will make reasonable accommodations that are appropriate and consistent within our legal obligations
]Working Conditions:[
The physical environment requires the employee to work inside an office environment, protected from weather conditions but not necessarily from temperature changes
Occasional visits to field sites will require employee to work both inside and outside in heat/cold, wet/humid, and dry/arid conditions in temperature extremes and inclement weather
The noise level in the work environment is usually quiet to moderate
Ability to travel when required, nationally, up to 20% of the time
No relocation is considered for this position
]"
"

Deloitte",Data Scientist,"Houston, TX 77002 (Downtown area)","Deloitte Services LP includes internal support areas such as Sales Excellence, Marketing and Communications, Human Resources/Talent, Information Technology, Facilities Management, and Financial Support Services.

Data Scientist

The Data Scientist provides direct support to GPS Sales Excellence by providing sales and pipeline analytics of Deloitte’s Customer Relationship Management (CRM) system (Salesforce), business development artifacts, and client documents.

The GPS Data Scientist is responsible for collaborating with Leadership and other Enabling Areas to understand their processes and data and therefore determine the most efficient and cost-effective manner to provide insights and subsequently predictive analyses on our bidding strategies, pipeline, and future sales.

This individual will apply natural language processing/machine learning to facilitate research, gather, and design processes and/or use technology to mine various business development artifacts, such as proposals, client documents, competitive research, and other corporate data repositories to identify ways to improve our win rate. The data scientist will also need to integrate data from disparate sources into an efficient and intuitive rational database structure.

Work you’ll do

As a Data Scientist within our team you will:
Assist Sales Excellence leaders with Mercury sales and pipeline data analyses
Coordinate with other internal organizations to understand business development processes and data
Provide recommendations and predictive analysis to senior leaders on improving bid strategies and subsequently win rates."
"

US Anesthesia Partners, Inc.",Data Scientist,"Dallas, TX 75251 (North Dallas area)","Overview:[
U.S. Anesthesia Partners (USAP) is the largest single-specialty anesthesia practice in the country with over 5,000 clinical providers and associates. By joining our team you will participate in a highly collaborative and dynamic environment. As an organization we are mission focused on delivering the highest quality in patient care and you will be directly supporting our talented clinical team. We extend this same commitment to quality to our associates and supply tools and resources that will ensure we win in the healthcare marketplace and support of USAP.

We are proud of our inclusive people culture that supports our associates to perform at their best. USAP is an equal opportunity employer. Candidates with physician services or related health care experience is a plus. We offer a competitive benefits package that starts immediately upon hire.

We have an exciting opportunity at US Anesthesia's FP&A team in Dallas, Texas. We are looking for a Financial Business Intelligence Analyst to guide and implement data science projects in support of initiatives across the organization including clinical operations and the back office. The ideal candidate will have deep technical and data science expertise. We are interested in someone with the ability to support, take charge and persuade non-technical audience. The Financial Business Intelligence Analyst undersatands quatative data and understands how to analyze large datasets. This is hands-on role that meets with senior management including the C-suite regularly.
]Responsibilities:
Support data science related work for the organization
Clean and explore data from source systems
Analyze data and prepare visualizations
Develop models (including predictive and prescriptive models) and simulations
Drive consensus regarding data standardization
Partner with IT to improve data warehousing capabilities
Other duties as assigned by management
Qualifications:
Demonstrated ability to consume data and extract insights relevant to the business
Serve as an Application and data expert (techincal, functional, client-facing)
Ability to learn new quantitative skills quickly and apply them in practical business context
Experienced working with non-technical individuals to identify business requirements and return with recommendations and insights
Strong knowledge of data manipulation and transformation tools such as Alteryx, Domo, SQL, Python or R
Basic experience utilizing statistical modeling and methods (critical thinking, technical, and analytical skills needed)
Internship or Technical Consulting in FP&A is a plus
Programming skills a plus
Bachelor's Degree required, preferably Computer Science, Statistics, Mathematics, Engineering at accredited college
3-5 years of professional work experience required
1-3 years using SQL, Power BI

US Anesthesia Partners, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics."
"

NT Concepts","Data Scientist (Ft. Worth, TX)","Fort Worth, TX 76102","Overview:[
Who We Are
We’re NT Concepts, a leading provider of business and technology solutions for the intelligence and national security communities! Our team of engineers, subject matter experts, and data scientists provide experienced, high-quality Information Technology (IT) and cybersecurity engineering and innovation support. We do that by working with some complex clients on their hardest challenges. Clients with massive, complex data sets. So we get to keep learning, building, and keeping our skills sharp. And since life’s too short to spend with difficult people, we hire team members that not only like to solve problems, but that we like so hang out with. That's important.
]Responsibilities:
And… Why We’re Both Here - This “Job” Thing
Here it is: we have some opportunities. And we’d like to get to know some more amazing people, that might want to talk about that. People like you. Since you’re reading this, and the title’s “data scientist,” we’re thinking you might be a little interested. Very cool.

We love people who dream big, find data fascinating, and understand that’s it’s not just about data: it’s about the science behind it, and how you can use it to solve real-world problems. We've got some tricky time-series data on this particular project and are looking for creative minds in the deep learning space to tackle it. (Also, if you happen to have some level of talent at, say kick-ball or giant Jenga: bonus points).
Qualifications:
Who You Are
Okay, beyond the basics (you solve problems, and are generally nice), we’re looking for a few skills. Less concerned with the specific technologies (great scientists can learn new tech as it emerges), more about horsepower.. That said, here are a couple bullets, things we look for:

Data science is a dynamic and evolving profession – we’re looking for people who love to learn and find unique solutions without being micro-managed: you’ll have the freedom to try new things, test solutions and technologies, and tell us when there’s a better path.
You know your way around a cloud console and have handled some pretty large volumes of data (time-series a plus!).
You are familiar with a few machine learning frameworks, like TensorFlow or PyTorch.
You've got experience with deep learning.
Maybe you have used enterprise products in the past for high throughput data ingestion and analysis.
Ultimately, we need someone who knows their way around data modeling, information extraction, time-series forecasting, machine learning algorithms, statistical analysis, or applied mathematics.
We realize that data scientists are a diverse breed and we are excited to hear how your unique combination of skills might apply to our current problem sets

Required:
Secret clearance required, higher is a plus
Bachelor's degree in a technical field

#CJ
#JT"
"

GM Financial",Intern - Data Science,"Fort Worth, TX 76102","Overview:[
This is a future opportunity req for the summer 2020 intern program.

START YOUR JOURNEY AT GM FINANCIAL’S SUMMER INTERNSHIP PROGRAM
GM Financial was founded as Americredit in September 1992 and opened its first branch office in Fort Worth, Texas. On October 10, 2010, Americredit Corp. was acquired by General Motors Company and renamed General Motors Financial Company, Inc. (GM Financial). GM Financial is the captive auto finance company and subsidiary of General Motors and is headquartered in Fort Worth, U.S. We are a global provider of auto finance solutions, with operations in North America, South America and Asia.
GM Financial offers many unique opportunities to talented young professionals in our Summer Internship Program. As an intern at our company, you’ll gain hands-on, real-world experience alongside industry-leading professionals during the 10-week program. You will have the opportunity to develop your skills in a professional environment and build a strong foundation for your future career.
]Responsibilities:
We are looking for students who are ready to take on stimulating projects and gain exposure to a variety of industry initiatives. Our program offers:
10 weeks of work experience (1st week of June through the 2nd week of August)
Competitive salary
Executive and peer networking opportunities
Independent and team project experiences
Philanthropic activities
Career development
Opportunity to apply for full-time career positions

Are you interested in working in the Data Science field? Does understanding business problems, preparing data, working with large datasets, developing models, forecasting, data mining, optimization, and providing polished presentations interest you? Then we have an opportunity for you!

We are looking for candidates for the following areas:
Statistics
Statistical Learning
Econometrics
Operations Research
Industrial Engineering
Economics
Data Science
Qualifications:
Must be a graduate student pursuing Master's degree from an accredited college or university in Statistics, Econometrics, Operations Research, Industrial Engineering, Economics, or a related field with at least one semester remaining upon start of the internship.
Must possess a minimum of a 3.0 (out of a 4 point scale) overall GPA.
Strong written and verbal communication skills required. This intern will be required to give presentations and communicate with business leaders.
Strong foundation in Statistics, Probability, and Mathematics highly desirable
Strong analytical, quantitative, problem solving and conceptual skills required.
Must be detail oriented and able to prioritize tasks to meet deadlines.
Must be able to work independently or in a team setting.
Previous internships considered a plus.

Working Conditions
Must be able to commit to work 40 hours for 10 consecutive weeks during the summer (First week of June through 2nd week in August)
Must participate in all GMF sponsored events for interns."
"

Zilliant",Data Scientist (Austin),"Austin, TX 78701 (Downtown area)","Description:
The primary role of a Data Scientist is to effectively configure the scientific models which support Zilliant’s Price Optimization and Sales Growth solutions. The Data Scientist must be comfortable with independent interactions with clients, guiding clients towards Zilliant’s configuration best practices, and effectively communicating the value of Zilliant’s products.

Responsibilities Include:

Leverage an array of software tools to analyze large client datasets
Integrate large scale commercial software into a client’s existing pricing process
Travel to client offices to present scientific concepts and model results to senior executives
Based out of the Zilliant office in downtown Austin

Key Requirements:

Advanced Degree in an applied mathematics subject such as Data Science, Operations Research, Industrial Engineering, Statistics or a related discipline
Experience in building data driven models which have driven measurable business performance
Experience using SQL and/or Spark to analyze and process large datasets
Experience implementing data science routines in R and/or Python

Desirable Skills and Experience:

Academic or industry exposure to B2B or B2C pricing and revenue optimization
Experience in deploying large scale enterprise software that employs operations research, statistics, or data science methods and algorithms
Industry experience in distribution, manufacturing, transportation, hospitality, or financial services is desirable
Prior experience working within a professional services organization"
"

ZeniMax Media Inc.",Data Scientist,"Dallas, TX","Overview:[
id Software is seeking a Data Scientist to join our development team. This role is an opportunity to contribute to a new initiative to substantially increase our teams’ ability to make data-driven decisions throughout the development and operation of our games.
]Responsibilities:
Design quantitative measures and analysis from development artifacts to understand and improve the development cycle on idTech games across multiple studios.
Analyze live and historic game data for insights
Design experiments to test hypotheses about player behavior and user experience
Transform questions about the player’s experience into the design of the right instrumentation to measure game mechanics and systems
Collaborate with DevOps to define requirements supporting data collection and storage
Work with the User Research group to deliver quantitative measurements from playtests
Create visualizations to share findings with team leadership, designers, and other stakeholders
Monitor game data over time to validate business measures and quantify the effects of marketing campaigns and updates to the game experience
Qualifications:
Bachelor’s degree in a quantitative field (Statistics, Mathematics, Engineering, Computer Science, etc.) or equivalent work experience
Understanding of statistical techniques relevant to data analysis
Experience with effective use of query languages (SQL, KQL, etc.)
Experience with a programming or scripting language
Strong analytical, organizational, and multitasking skills
Preferred Skills:[
Experience playing DOOM and other games
Game industry experience or familiarity with the software development lifecycle
Experience with creating compelling visualizations in data tools like Altair/Vega, D3, Jupyter Notebooks, Kibana, Grafana, Tableau, PowerBI, etc.
Experience with the costs and benefits of various data stores (MongoDB, DynamoDB, Elasticsearch, etc)
Familiarity with data lake and data warehouse storage patterns
Strong Python development skills and familiar with Python-based data science libraries.
Familiarity with other data analysis and reporting languages, software, and systems
In building this new initiative, we have the opportunity to build a successful team from applicants with different levels of experience and expertise.
]"
"

HP",Data Scientist Intern,"Spring, TX 77389","Join our team of Quality and Customer Experience Analytics experts.
We are looking for University students enrolled in a Masters advanced degree program who are working in a technical or non-technical internship role at HP during their study or in summer breaks between university semesters.
The candidate will be engaged in a variety of data collection, analytic, programming and reporting related projects, to support HP Inc.’s Quality and Customer Experience improvement programs. The candidate will work both independently and in a global, team environment. Work requires confidence in programming, mathematics and the ability to coordinate and execute data collection, processing, reporting and analytics projects.
Projects may include, but are not limited to:
Research, identify and collect data from multiple sources
Consolidate and clean data to prepare for statistical analysis and visualization
Conduct statistical analysis to correlate the strength of relationship between customer experience, financial and process measures
Participate in processes to automate data collection into data warehouses
Build models to predict revenue growth from customer experience and process metrics
Evaluate suitability of metrics and measures for analysis, inclusion in scorecards and for improvement efforts
Publish periodic progress reports (project status and scorecards)
Education and Experience Required:
Bachelors degree 1st year of Master's program completed; strong preference for Computer Science, Data Science, Statistics or Mathematics degrees
Basic programming skills. Preferably Java, Python and SQL
Experience in data extraction, data cleansing and preparation, text analytics, data mining.
Ability to conduct statistical analysis including correlation and multivariate regression
Strong verbal and written communication (Fluent in English)
Skills to manage smaller projects to successful completion
Learn quickly; translate school or other knowledge into practical application
Desired:
Experience working with small teams to accomplish shared objectives
Analysis & Modeling: 2+ years of experience building statistical models (e.g. linear & logistic regression, time series, SVM, etc.)
Data: 2+ years of experience working with databases (relational, map-reduce, columnar) writing SQL code to extract, manipulate and analyze.
Ability to streamline and automate data collection and onboarding tasks using programming skills
Familiarity with API’s and various Db connectors to onboard data
Progress toward advanced degree or other relevant work experience considered a plus"
